column,is_index
col_00,False
col_01,False
col_02,False
col_03,False
col_04,False
col_05,False
col_06,False
col_07,False
col_08,False
col_09,False
col_10,False
col_12,False
col_13,False
col_14,False
col_15,False
col_16,False
col_17,False
col_18,False
col_19,False
col_20,False
col_21,False
col_22,False
col_23,False
col_24,False
col_25,False
col_26,False
col_27,False
col_28,False
col_29,False
col_31,False
col_32,False
col_33,False
col_34,False
col_35,False
col_36,False
col_37,False
col_38,False
col_39,False
col_40,False
col_41,False
col_43,False
col_44,False
col_45,False
col_47,False
col_49,False
col_51,False
col_52,False
col_42,True
col_50,True
col_11,True
col_48,True
col_46,True
col_30,True
